"SKU","Product_Name","Description","Default_Image","Brand","Category","Condition","EAN","Price","Stock","Handling_Time","Shipping_Template_Id","Shipping_Weight_(Kg)","Warranty (Months)","Free Returns","ASIN","MPN","RRP","Parent_Group","Variant_One_Name","Variant_One_Value","Variant_Two_Name","Variant_Two_Value","Clothing Size","Colour","Summary_Point_One","Summary_Point_Two","Summary_Point_Three","Summary_Point_Four","Summary_Point_Five","Additional_images_One","Additional_images_Two","Additional_images_Three","Additional_images_Four","Additional_images_Five","Additional_images_Six","Additional_images_Seven","Additional_images_Eight","Additional_images_Nine","Additional_images_Ten"
"OB-1005004270948852","1/35 Scale Resin Figure Kit Helicopter Pilot 2 Men (Helicopter Not Included) Unassembled Unpainted Garage Kit","<p><strong>1/35 Scale Resin Figure Kit Helicopter Pilot 2 Men (Helicopter Not Included) Unassembled Unpainted Garage Kit</strong></p>
<p>A highly detailed resin figure kit in 1/35 scale, featuring 2 figure(s). Aviation themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin figure kit (2 figure(s))</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Aviation</li>
  <li><strong>Type:</strong> Figure</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRchBt.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950005","23.99","5","5","Deliveries","","","No","","","33.59","","","","","","","","High-detail resin figure kit in 1/35 scale","Aviation themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSRchBt.jpg","","","","","","","","",""
"OB-1005003931713603","1 35 Scale Resin Model Kits Modern Military Series Soldier 7 People And Machine Gun Unassembled And Unpainted Diy Toys","<p><strong>1 35 Scale Resin Model Kits Modern Military Series Soldier 7 People And Machine Gun Unassembled And Unpainted Diy Toys</strong></p>
<p>A highly detailed resin figure kit in 1/35 scale, featuring 7 figure(s). Modern Military themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin figure kit (7 figure(s))</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Modern Military</li>
  <li><strong>Type:</strong> Figure</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRcjEX.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950012","70.99","5","5","Deliveries","","","No","","","99.39","","","","","","","","High-detail resin figure kit in 1/35 scale","Modern Military themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSRc4C7.jpg","https://iili.io/qSTv19I.jpg","","","","","","","",""
"OB-1005008708230536","1/35 Scale Resin Figure Assembled Model Kit European Cavalry 2 Man And Horse Miniature Diorama Toy Unassembled And Unpainted","<p><strong>1/35 Scale Resin Figure Assembled Model Kit European Cavalry 2 Man And Horse Miniature Diorama Toy Unassembled And Unpainted</strong></p>
<p>A highly detailed resin diorama set kit in 1/35 scale, featuring 2 figure(s). Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin diorama set kit (2 figure(s))</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Fantasy</li>
  <li><strong>Type:</strong> Diorama Set</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRcP4e.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950029","45.99","5","5","Deliveries","","","No","","","64.39","","","","","","","","High-detail resin diorama set kit in 1/35 scale","Fantasy themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSRcyCP.jpg","https://iili.io/qSRcUj2.jpg","","","","","","","",""
"OB-4001090380506","1/35 Resin Figure Model Kits Military Theme Miniature U.S. Helicopter Crew 'Nam 2 Figures Unassambled Unpainted N541","<p><strong>1/35 Resin Figure Model Kits Military Theme Miniature U.S. Helicopter Crew 'Nam 2 Figures Unassambled Unpainted N541</strong></p>
<p>A highly detailed resin figure kit in 1/35 scale, featuring 2 figure(s). Military themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin figure kit (2 figure(s))</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Military</li>
  <li><strong>Type:</strong> Figure</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSTeef4.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950036","19.99","5","5","Deliveries","","","No","","","27.99","","","","","","","","High-detail resin figure kit in 1/35 scale","Military themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSRcs3u.jpg","https://iili.io/qSRcLYb.jpg","","","","","","","",""
"OB-1005006821445183","1/35 Scale Resin Figure Assembly Model Kit Wwii U. S. Heli Door Gunners W/M23 Hobby Miniature Unassembled Unpainted Diorama","<p><strong>1/35 Scale Resin Figure Assembly Model Kit Wwii U. S. Heli Door Gunners W/M23 Hobby Miniature Unassembled Unpainted Diorama</strong></p>
<p>A highly detailed resin diorama set kit in 1/35 scale. World War II themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin diorama set kit</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> World War II</li>
  <li><strong>Type:</strong> Diorama Set</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRcgQS.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950043","24.99","5","5","Deliveries","","","No","","","34.99","","","","","","","","High-detail resin diorama set kit in 1/35 scale","World War II themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSTeNsf.jpg","","","","","","","","",""
"OB-1005002608112709","1/35 Resin Model Kits American Furious Sherman Tank Resin Modification (No Tank) Unassambled Unpainted","<p><strong>1/35 Resin Model Kits American Furious Sherman Tank Resin Modification (No Tank) Unassambled Unpainted</strong></p>
<p>A highly detailed resin vehicle kit kit in 1/35 scale. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin vehicle kit kit</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Fantasy</li>
  <li><strong>Type:</strong> Vehicle Kit</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRcSTl.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950050","44.99","5","5","Deliveries","","","No","","","62.99","","","","","","","","High-detail resin vehicle kit kit in 1/35 scale","Fantasy themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSTek0l.jpg","https://iili.io/qSTePWb.jpg","https://iili.io/qSRceYG.jpg","https://iili.io/qSRl9G1.jpg","","","","","",""
"OB-4001204546746","1/35 Resin Figures Model Assembled Kits Vietnam War Us Tourists 11 Figures & Stores Hobby Miniature Unassambled Unpainted Ns316","<p><strong>1/35 Resin Figures Model Assembled Kits Vietnam War Us Tourists 11 Figures & Stores Hobby Miniature Unassambled Unpainted Ns316</strong></p>
<p>A highly detailed resin figure kit in 1/35 scale, featuring 11 figure(s). Modern Military themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin figure kit (11 figure(s))</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Modern Military</li>
  <li><strong>Type:</strong> Figure</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRckvf.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950067","65.99","5","5","Deliveries","","","No","","","92.39","","","","","","","","High-detail resin figure kit in 1/35 scale","Modern Military themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSTeVRt.jpg","https://iili.io/qSRcZyx.jpg","https://iili.io/qSRld3g.jpg","https://iili.io/qSRlqjp.jpg","https://iili.io/qSTkX2V.jpg","","","","",""
"OB-1005002037637278","1/35 Resin Figures Assembled Model Kits Modern Hobby Miniature Statue Us Army Helicopter Crew 6 Figures Unassambled Unpainted","<p><strong>1/35 Resin Figures Assembled Model Kits Modern Hobby Miniature Statue Us Army Helicopter Crew 6 Figures Unassambled Unpainted</strong></p>
<p>A highly detailed resin figure kit in 1/35 scale, featuring 6 figure(s). Military themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin figure kit (6 figure(s))</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Military</li>
  <li><strong>Type:</strong> Figure</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRlIFn.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950074","51.99","5","5","Deliveries","","","No","","","72.79","","","","","","","","High-detail resin figure kit in 1/35 scale","Military themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","","","","","","","","","",""
"OB-32960522318","1/35 Scale Resin Figure Assembled Model Kit Historical Hobby Toy Miniature Statue Old Man Inclusion Bench Unassembled Unpainted","<p><strong>1/35 Scale Resin Figure Assembled Model Kit Historical Hobby Toy Miniature Statue Old Man Inclusion Bench Unassembled Unpainted</strong></p>
<p>A highly detailed resin figure kit in 1/35 scale. Historical themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin figure kit</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Historical</li>
  <li><strong>Type:</strong> Figure</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRloGt.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950081","16.99","5","5","Deliveries","","","No","","","23.79","","","","","","","","High-detail resin figure kit in 1/35 scale","Historical themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSRlBZN.jpg","https://iili.io/qSRlx6X.jpg","https://iili.io/qSRl5u4.jpg","","","","","","",""
"OB-1005002842532100","1/35 Scale Resin Figure Model Kits Gk Miniature Scene Us Army Tank Crew 4 Figures Unassambled And Unpainted Diorama Diy Toys","<p><strong>1/35 Scale Resin Figure Model Kits Gk Miniature Scene Us Army Tank Crew 4 Figures Unassambled And Unpainted Diorama Diy Toys</strong></p>
<p>A highly detailed resin diorama set kit in 1/35 scale, featuring 4 figure(s). Military themed. Supplied unassembled and unpainted, ready for your creative touch.</p>

<p><strong>What's Included</strong></p>
<ul>
  <li>Resin diorama set kit (4 figure(s))</li>
  <li>Cast in high-quality resin for fine detail</li>
</ul>

<p><strong>Specifications</strong></p>
<ul>
  <li><strong>Material:</strong> Resin</li>
  <li><strong>Scale:</strong> 1/35</li>
  <li><strong>Theme:</strong> Military</li>
  <li><strong>Type:</strong> Diorama Set</li>
  <li><strong>Condition:</strong> Brand new, unbuilt kit</li>
</ul>

<p><strong>Assembly &amp; Painting Tips</strong></p>
<ul>
  <li>Wash all parts in warm soapy water before priming to remove mould release</li>
  <li>Use super glue (cyanoacrylate) or two-part epoxy for assembly</li>
  <li>Prime with a grey or white spray primer before painting</li>
  <li>Acrylic or enamel model paints are both suitable</li>
</ul>

<p><strong>Ideal For</strong></p>
<ul>
  <li>Scale model builders and painters</li>
  <li>Diorama creators</li>
  <li>Military history and miniature collectors</li>
  <li>Wargaming and tabletop RPG enthusiasts</li>
  <li>A unique gift for hobby enthusiasts</li>
</ul>

<p><em>Please examine all photos carefully. Images show the kit assembled and painted as a reference only &mdash; you will receive the unassembled, unpainted resin kit.</em></p>","https://iili.io/qSRlXAx.jpg","Unbranded","Toys & Games > Action Figures & Collectibles > Model Kits","New","5061122950098","32.99","5","5","Deliveries","","","No","","","46.19","","","","","","","","High-detail resin diorama set kit in 1/35 scale","Military themed — perfect for collectors and modellers","Cast in premium resin for crisp, fine detail","Supplied unassembled and unpainted — customise to your vision","Ideal for dioramas, display cabinets, and wargaming tables","https://iili.io/qSTk0hu.jpg","","","","","","","","",""
